theme_id,entity_id,ticker,role,purity,effective_from,effective_to,change_reason,notes
foundry_advanced_packaging,intel,INTC,related,low,2026-09-08,,initial_v1_0,mixed_idm_and_foundry_driver
cooling_thermal,vertiv,VRT,core,high,2026-09-08,,initial_v1_0,
cooling_thermal,modine,MOD,core,high,2026-09-08,,initial_v1_0,
cooling_thermal,aaon,AAON,core,high,2026-09-08,,initial_v1_0,
cooling_thermal,trane_technologies,TT,related,medium,2026-09-08,,initial_v1_0,
cooling_thermal,johnson_controls,JCI,exclude,low,2026-09-08,,initial_v1_0,diversified_hvac
cooling_thermal,carrier,CARR,exclude,low,2026-09-08,,initial_v1_0,diversified_hvac
eda_semiconductor_ip,synopsys,SNPS,core,high,2026-09-08,,initial_v1_0,
eda_semiconductor_ip,cadence,CDNS,core,high,2026-09-08,,initial_v1_0,
nuclear_utilities_ai_power,constellation_energy,CEG,core,high,2026-09-08,,initial_v1_0,
nuclear_utilities_ai_power,vistra,VST,core,high,2026-09-08,,initial_v1_0,
ai_cloud_neocloud,coreweave,CRWV,core,high,2026-09-08,,initial_v1_0,
ai_cloud_neocloud,nebius,NBIS,core,high,2026-09-08,,initial_v1_0,
ai_cloud_neocloud,iren,IREN,related,medium,2026-09-08,,initial_v1_0,ai_cloud_transition_in_progress
ai_cloud_neocloud,chronoscale,CHRN,related,medium,2026-09-08,,initial_v1_0,parent_ownership_and_float_concentration
ai_cloud_neocloud,applied_digital,APLD,exclude,low,2026-09-08,,initial_v1_0,hosting_not_cloud_service
ai_cloud_neocloud,oracle,ORCL,exclude,low,2026-09-08,,initial_v1_0,home_is_hyperscaler_ai_capex
ai_software_data,palantir,PLTR,core,high,2026-09-08,,initial_v1_0,
ai_software_data,datadog,DDOG,core,medium,2026-09-08,,initial_v1_0,
ai_software_data,snowflake,SNOW,core,high,2026-09-08,,initial_v1_0,
ai_software_data,servicenow,NOW,related,medium,2026-09-08,,initial_v1_0,
ai_software_data,mongodb,MDB,related,medium,2026-09-08,,initial_v1_0,
quantum_computing,ionq,IONQ,core,high,2026-09-08,,initial_v1_0,
quantum_computing,rigetti,RGTI,core,high,2026-09-08,,initial_v1_0,
quantum_computing,dwave,QBTS,core,high,2026-09-08,,initial_v1_0,
quantum_computing,quantum_computing_inc,QUBT,core,high,2026-09-08,,initial_v1_0,
defense_autonomy_drones,aerovironment,AVAV,core,high,2026-09-08,,initial_v1_0,
defense_autonomy_drones,kratos,KTOS,core,high,2026-09-08,,initial_v1_0,
defense_autonomy_drones,red_cat,RCAT,related,high,2026-09-08,,initial_v1_0,related_due_to_liquidity_and_event_risk
defense_autonomy_drones,ondas,ONDS,related,high,2026-09-08,,initial_v1_0,related_due_to_liquidity_and_event_risk
defense_autonomy_drones,palantir,PLTR,related,medium,2026-09-08,,initial_v1_0,home_is_ai_software_data
defense_autonomy_drones,l3harris,LHX,related,low,2026-09-08,,initial_v1_0,diversified_defense_prime
nuclear_tech_smr_fuel,oklo,OKLO,core,high,2026-09-08,,initial_v1_0,
nuclear_tech_smr_fuel,nuscale_power,SMR,core,high,2026-09-08,,initial_v1_0,
nuclear_tech_smr_fuel,centrus_energy,LEU,core,high,2026-09-08,,initial_v1_0,
nuclear_tech_smr_fuel,bwx_technologies,BWXT,related,medium,2026-09-08,,initial_v1_0,naval_nuclear_and_components_mix
nuclear_tech_smr_fuel,constellation_energy,CEG,exclude,low,2026-09-08,,initial_v1_0,separate_nuclear_utilities_theme
nuclear_tech_smr_fuel,vistra,VST,exclude,low,2026-09-08,,initial_v1_0,separate_nuclear_utilities_theme
space_satellite,rocket_lab,RKLB,core,high,2026-09-08,,initial_v1_0,
space_satellite,ast_spacemobile,ASTS,core,high,2026-09-08,,initial_v1_0,
space_satellite,redwire,RDW,related,medium,2026-09-08,,initial_v1_0,
space_satellite,planet_labs,PL,related,medium,2026-09-08,,initial_v1_0,
space_satellite,spacex,SPCX,watch,high,2026-09-08,,initial_v1_0,standalone_overlay_not_official_basket
crypto_equities,coinbase,COIN,core,high,2026-09-08,,initial_v1_0,
crypto_equities,strategy,MSTR,core,high,2026-09-08,,initial_v1_0,btc_treasury_exposure
crypto_equities,mara,MARA,core,high,2026-09-08,,initial_v1_0,
crypto_equities,riot_platforms,RIOT,core,high,2026-09-08,,initial_v1_0,
crypto_equities,cleanspark,CLSK,core,high,2026-09-08,,initial_v1_0,
crypto_equities,robinhood,HOOD,related,medium,2026-09-08,,initial_v1_0,diversified_brokerage
cybersecurity,crowdstrike,CRWD,core,high,2026-09-08,,initial_v1_0,
cybersecurity,palo_alto_networks,PANW,core,high,2026-09-08,,initial_v1_0,
cybersecurity,zscaler,ZS,core,high,2026-09-08,,initial_v1_0,
cybersecurity,fortinet,FTNT,core,high,2026-09-08,,initial_v1_0,
cybersecurity,cyberark,CYBR,core,high,2026-09-08,,initial_v1_0,
cybersecurity,sentinelone,S,related,high,2026-09-08,,initial_v1_0,
evtol_aam,joby_aviation,JOBY,core,high,2026-09-08,,initial_v1_0,
evtol_aam,archer_aviation,ACHR,core,high,2026-09-08,,initial_v1_0,
evtol_aam,eve_holding,EVEX,core,high,2026-09-08,,initial_v1_0,
frontier_ai_labs,openai,,watch,high,2026-09-08,,initial_v1_0,private_no_score
frontier_ai_labs,anthropic,,watch,high,2026-09-08,,initial_v1_0,private_no_score
physical_ai_autonomy,tesla,TSLA,watch,medium,2026-09-08,,initial_v1_0,no_home_core
physical_ai_autonomy,symbotic,SYM,watch,high,2026-09-08,,initial_v1_0,no_score_v1
physical_ai_autonomy,mobileye,MBLY,watch,high,2026-09-08,,initial_v1_0,no_score_v1
datacenter_hpc_hosting,applied_digital,APLD,watch,high,2026-09-08,,initial_v1_0,hosting_watch
datacenter_hpc_hosting,chronoscale,CHRN,related,medium,2026-09-08,,initial_v1_0,parent_ownership_overlap
