entity_id,name,ticker,exchange,asset_type,status,data_status,ipo_date,notes
poet_technologies,POET Technologies,POET,,equity,public,active,,exchange_to_be_verified_against_price_provider
powell_industries,Powell Industries,POWL,,equity,public,active,,exchange_to_be_verified_against_price_provider
qualcomm,Qualcomm,QCOM,,equity,public,active,,exchange_to_be_verified_against_price_provider
quanta_services,Quanta Services,PWR,,equity,public,active,,exchange_to_be_verified_against_price_provider
quantum_computing_inc,Quantum Computing Inc.,QUBT,,equity,public,active,,exchange_to_be_verified_against_price_provider
red_cat,Red Cat Holdings,RCAT,,equity,public,active,,exchange_to_be_verified_against_price_provider
redwire,Redwire,RDW,,equity,public,active,,exchange_to_be_verified_against_price_provider
rigetti,Rigetti Computing,RGTI,,equity,public,active,,exchange_to_be_verified_against_price_provider
riot_platforms,Riot Platforms,RIOT,,equity,public,active,,exchange_to_be_verified_against_price_provider
robinhood,Robinhood Markets,HOOD,,equity,public,active,,exchange_to_be_verified_against_price_provider
rocket_lab,Rocket Lab,RKLB,,equity,public,active,,exchange_to_be_verified_against_price_provider
sandisk,Sandisk,SNDK,,equity,public,active,,exchange_to_be_verified_against_price_provider
seagate,Seagate Technology,STX,,equity,public,active,,exchange_to_be_verified_against_price_provider
sentinelone,SentinelOne,S,,equity,public,active,,exchange_to_be_verified_against_price_provider
servicenow,ServiceNow,NOW,,equity,public,active,,exchange_to_be_verified_against_price_provider
sk_hynix,SK hynix,SKHY,,adr,public,active,,exchange_to_be_verified_against_price_provider
snowflake,Snowflake,SNOW,,equity,public,active,,exchange_to_be_verified_against_price_provider
spacex,SpaceX,SPCX,,equity,public,active,,standalone_watch_overlay_not_official_space_basket
strategy,Strategy,MSTR,,equity,public,active,,exchange_to_be_verified_against_price_provider
symbotic,Symbotic,SYM,,equity,public,active,,exchange_to_be_verified_against_price_provider
synopsys,Synopsys,SNPS,,equity,public,active,,exchange_to_be_verified_against_price_provider
teradyne,Teradyne,TER,,equity,public,active,,exchange_to_be_verified_against_price_provider
tesla,Tesla,TSLA,,equity,public,active,,exchange_to_be_verified_against_price_provider
trane_technologies,Trane Technologies,TT,,equity,public,active,,exchange_to_be_verified_against_price_provider
tsmc,Taiwan Semiconductor Manufacturing,TSM,,adr,public,active,,exchange_to_be_verified_against_price_provider
vertiv,Vertiv,VRT,,equity,public,active,,exchange_to_be_verified_against_price_provider
vistra,Vistra,VST,,equity,public,active,,exchange_to_be_verified_against_price_provider
western_digital,Western Digital,WDC,,equity,public,active,,exchange_to_be_verified_against_price_provider
zscaler,Zscaler,ZS,,equity,public,active,,exchange_to_be_verified_against_price_provider
